pgChr	pgOrd	pgID	OutgroupAlnPercMean	BahahaTaipingensisF0	BahahaTaipingensisF1	BahahaTaipingensisM0	BahahaTaipingensisM1
1	5	4	0.87036064681663	1	1	1	1
1	7	6	0.86910561684902	1	1	1	1
1	8	7	0.90050383170286	1	1	1	1
1	10	8	0.60783043677869	1	1	1	1
1	11	9	0.77482441711951	1	1	1	1
1	12	10	0.74272133729524	1	1	1	1
1	13	11	0.56241414680538	1	1	1	1
1	16	14	0.79694159881697	1	1	1	1
1	18	16	0.95110825722983	1	1	1	1
1	19	17	0.77063542564239	1	1	1	1
1	22	20	0.7937720899704	1	1	1	1
1	23	21	0.87584862571788	1	1	1	1
1	24	22	0.84048063768795	1	1	1	1
1	25	23	0.8270415012729	1	1	1	1
1	26	24	0.91799006228555	1	1	1	1
1	27	25	0.77497380905351	1	1	1	1
1	28	26	0.83407777841853	1	1	1	1
1	29	27	0.72641203261846	1	1	1	1
1	30	28	0.97508305647841	1	1	1	1
1	31	29	0.49757465731435	1	1	1	1
1	32	30	0.95728346456693	1	1	1	1
1	33	31	0.72735254951435	1	1	1	1
1	34	32	0.84439978905843	1	1	1	1
1	35	33	0.74937928581568	1	1	1	1
1	36	34	0.85487458193153	1	1	1	1
1	37	35	0.73279416542445	1	1	1	1
1	44	41	0.85605006618955	1	1	1	1
1	45	42	0.74593227185846	1	1	1	1
1	46	43	0.73013068002114	1	1	1	1
1	47	44	0.82913230510169	1	1	1	1
1	48	45	0.79193622929749	1	1	1	1
1	50	47	0.90576339713192	1	1	1	1
1	51	48	0.85690827071993	1	1	1	1
1	52	49	0.79766689861347	1	1	1	1
1	53	50	0.80552658514692	1	1	1	1
1	54	51	0.92113749171855	1	1	1	1
1	55	52	0.83396794733991	1	1	1	1
1	57	54	0.74869762821542	1	1	1	1
1	59	56	0.8046687994736	1	1	1	1
1	60	57	0.98807826170567	1	1	1	1
1	61	58	0.76210200426521	1	1	1	1
1	76	68	0.79437238176254	1	1	1	1
1	77	69	0.92170654644935	1	1	1	1
1	78	70	0.74768287510538	1	1	1	1
1	79	71	0.94581727299928	1	1	1	1
1	80	72	0.91317716082772	1	1	1	1
1	81	73	0.90020389934406	1	1	1	1
1	82	74	0.97462168106767	1	1	1	1
1	83	75	0.97680909802935	1	1	1	1
1	86	78	0.93528291175944	1	1	1	1
1	87	79	0.92363620080601	1	1	1	1
1	92	84	0.89887236159291	1	1	1	1
1	97	88	0.79898500903978	1	1	1	1
1	98	89	0.67906522068976	1	1	1	1
1	100	91	0.89512272543984	1	1	1	1
1	101	92	0.9118492673527	1	1	1	1
1	102	93	0.7701440424535	1	1	1	1
1	103	94	0.91387686539324	1	1	1	1
1	104	95	0.71820054523836	1	1	1	1
1	106	97	0.92071963200213	1	1	1	1
1	108	98	0.23032926747507	1	1	1	1
1	109	99	0.47322119336128	1	1	1	1
1	110	100	0.83070851910238	1	1	1	1
1	111	101	0.74679854543058	1	1	1	1
1	113	103	0.91752921306298	1	1	1	1
1	114	104	0.87420995670996	1	1	1	1
1	115	105	0.82970178870603	1	1	1	1
1	116	106	0.82742246437946	1	1	1	1
